title,gmm_cluster,cluster_confidence,cluster_entropy_normalized,pagerank,mean_visits
Even and odd functions,4,0.3854132137014927,0.7040471671531443,0.0006171411967764501,452.35567715458274
Right angle,2,0.3858102029768426,0.6806957793176573,0.0007009492795631597,375.6238030095759
Field extension,1,0.3911386014059639,0.6802364879284633,0.0008300801055150552,165.24897400820794
Harmonic analysis,1,0.3961502658342841,0.7016226815519782,0.00046395068730408786,185.50205198358412
Model of computation,1,0.4027256167043219,0.663454211779265,0.0003533218524191645,137.55403556771546
Fixed point (mathematics),4,0.42011293819480755,0.6613850358521656,0.0007417883620355612,231.15595075239398
Square (algebra),4,0.44487517714492203,0.6689640447524855,0.0008665106960632833,458.00136798905606
Heaviside step function,1,0.4605795868849537,0.6642020984334803,0.000625691509873173,711.5253077975376
Rule of inference,1,0.4666551977391574,0.6630016347370428,0.0004268137173868892,271.09986320109437
Radius of convergence,2,0.4713284739096134,0.6654610584949434,0.000668974033405157,253.03009575923392
