gmm_cluster,title,pagerank,mean_visits,in_degree,out_degree,cluster_confidence
0,Rotations in 4-dimensional Euclidean space,0.00951601956666291,78.86046511627907,14,0,1.0
0,24-cell,0.00891708691209045,68.20519835841313,29,1,1.0
0,Symmetric relation,0.006492008954229814,132.68809849521205,25,3,0.999999999998459
0,Branch point,0.005890360031760921,112.13953488372093,26,0,0.999999987867228
0,Queue (abstract data type),0.005471950647832268,414.63474692202465,25,0,0.9999960183643968
1,Constant function,0.002044725984062044,170.71682626538987,50,13,0.9312237150043303
1,Eigenvalues and eigenvectors,0.001973182462807553,2475.766073871409,99,8,0.9940776882418558
1,Antisymmetric relation,0.0019553200332336853,193.45554035567716,20,5,0.56825802217717
1,Hyperbola,0.0019198127230126412,755.4774281805745,40,9,0.5615926157344944
1,Monomial,0.0019141778799075645,190.54719562243503,24,6,0.7388458880984142
2,Extreme value theorem,0.0009269964701213696,254.4596443228454,62,13,0.8054783731075897
2,Representation theory,0.0008914111790674627,242.93160054719561,67,21,0.6986871080335355
2,Square root,0.0008493870994372936,2248.9316005471956,58,27,0.7911983360934425
2,Calculus of variations,0.0008482772643355528,511.11491108071135,74,30,0.8209533506766297
2,Divergence theorem,0.0008383865618818418,871.1928864569084,50,39,0.7671620702018194
3,Knuth's up-arrow notation,0.0006025305171860045,292.0766073871409,19,7,0.9401476488771516
3,Normal number,0.0005624013754372973,214.0984952120383,27,4,0.765244546268445
3,Bézout's identity,0.0005435694608360742,261.9110807113543,16,5,0.8056454644519216
3,Dimension,0.0005188075181058109,1101.4705882352941,39,71,0.9458625969170582
3,New Foundations,0.0005161302627399819,44.06976744186046,26,28,0.952548802919572
4,Maximum likelihood estimation,0.004084729397411957,1340.5581395348838,65,1,0.8989500730333034
4,Post's theorem,0.0038745435432275426,12.369357045143639,9,0,0.9964707780127771
4,Extended Euclidean algorithm,0.003626355662524047,420.0574555403557,25,0,0.9653117024394845
4,Covering relation,0.003258817558290408,11.667578659370726,14,0,0.9999586797368323
4,Handshaking lemma,0.003054908933934835,126.63885088919288,14,0,0.8618597695346201
